section_id,student_id,midterm_grade,final_grade
16,111,NULL,NULL
17,111,NULL,NULL
18,111,NULL,NULL
19,112,NULL,NULL
20,112,NULL,NULL
21,112,NULL,NULL
22,113,NULL,NULL
23,113,NULL,NULL
24,113,NULL,NULL
25,114,NULL,NULL
26,114,NULL,NULL
27,114,NULL,NULL
28,115,NULL,NULL
29,115,NULL,NULL
30,115,NULL,NULL
31,116,NULL,NULL
32,116,NULL,NULL
33,116,NULL,NULL
34,117,NULL,NULL
35,117,NULL,NULL
36,117,NULL,NULL
37,118,NULL,NULL
38,118,NULL,NULL
39,118,NULL,NULL
40,119,NULL,NULL
41,119,NULL,NULL
42,119,NULL,NULL
43,120,NULL,NULL
44,120,NULL,NULL
45,120,NULL,NULL
46,121,NULL,NULL
47,121,NULL,NULL
48,121,NULL,NULL
49,122,NULL,NULL
50,122,NULL,NULL
51,122,NULL,NULL
52,123,NULL,NULL
53,123,NULL,NULL
54,123,NULL,NULL
55,124,NULL,NULL
56,124,NULL,NULL
57,124,NULL,NULL
58,125,NULL,NULL
59,125,NULL,NULL
60,125,NULL,NULL
61,126,NULL,NULL
62,126,NULL,NULL
63,126,NULL,NULL
64,127,NULL,NULL
65,127,NULL,NULL
66,127,NULL,NULL
67,128,NULL,NULL
68,128,NULL,NULL
69,128,NULL,NULL
70,129,NULL,NULL
71,129,NULL,NULL
72,129,NULL,NULL
73,130,NULL,NULL
74,130,NULL,NULL
75,130,NULL,NULL
76,131,NULL,NULL
77,131,NULL,NULL
78,131,NULL,NULL
79,132,NULL,NULL
80,132,NULL,NULL
81,132,NULL,NULL
82,133,NULL,NULL
83,133,NULL,NULL
84,133,NULL,NULL
85,134,NULL,NULL
86,134,NULL,NULL
87,134,NULL,NULL
88,135,NULL,NULL
89,135,NULL,NULL
90,135,NULL,NULL
91,136,NULL,NULL
92,136,NULL,NULL
93,136,NULL,NULL
94,137,NULL,NULL
95,137,NULL,NULL
96,137,NULL,NULL
97,138,NULL,NULL
98,138,NULL,NULL
99,138,NULL,NULL
100,139,NULL,NULL
101,139,NULL,NULL
102,139,NULL,NULL
103,140,NULL,NULL
104,140,NULL,NULL
105,140,NULL,NULL
106,141,NULL,NULL
107,141,NULL,NULL
108,141,NULL,NULL
109,142,NULL,NULL
110,142,NULL,NULL
111,142,NULL,NULL
112,143,NULL,NULL
113,143,NULL,NULL
114,143,NULL,NULL
115,144,NULL,NULL
116,144,NULL,NULL
117,144,NULL,NULL
118,145,NULL,NULL
119,145,NULL,NULL
120,145,NULL,NULL
121,146,NULL,NULL
122,146,NULL,NULL
123,146,NULL,NULL
124,147,NULL,NULL
125,147,NULL,NULL
126,147,NULL,NULL
127,148,NULL,NULL
128,148,NULL,NULL
129,148,NULL,NULL
130,149,NULL,NULL
131,149,NULL,NULL
132,149,NULL,NULL
133,150,NULL,NULL
134,150,NULL,NULL
135,150,NULL,NULL
136,151,NULL,NULL
137,151,NULL,NULL
138,151,NULL,NULL
139,152,NULL,NULL
140,152,NULL,NULL
141,152,NULL,NULL
142,153,NULL,NULL
143,153,NULL,NULL
144,153,NULL,NULL
145,154,NULL,NULL
146,154,NULL,NULL
147,154,NULL,NULL
148,155,NULL,NULL
149,155,NULL,NULL
150,155,NULL,NULL
151,156,NULL,NULL
152,156,NULL,NULL
153,156,NULL,NULL
154,157,NULL,NULL
155,157,NULL,NULL
156,157,NULL,NULL
157,158,NULL,NULL
158,158,NULL,NULL
159,158,NULL,NULL
160,159,NULL,NULL
161,159,NULL,NULL
162,159,NULL,NULL
163,160,NULL,NULL
164,160,NULL,NULL
165,160,NULL,NULL
166,161,NULL,NULL
167,161,NULL,NULL
168,161,NULL,NULL
169,162,NULL,NULL
170,162,NULL,NULL
171,162,NULL,NULL
172,163,NULL,NULL
173,163,NULL,NULL
174,163,NULL,NULL
175,164,NULL,NULL
176,164,NULL,NULL
177,164,NULL,NULL
178,165,NULL,NULL
179,165,NULL,NULL
180,165,NULL,NULL
181,166,NULL,NULL
182,166,NULL,NULL
183,166,NULL,NULL
184,167,NULL,NULL
185,167,NULL,NULL
186,167,NULL,NULL
187,168,NULL,NULL
188,168,NULL,NULL
189,168,NULL,NULL
190,169,NULL,NULL
191,169,NULL,NULL
192,169,NULL,NULL
193,170,NULL,NULL
194,170,NULL,NULL
195,170,NULL,NULL
196,171,NULL,NULL
197,171,NULL,NULL
198,171,NULL,NULL
199,172,NULL,NULL
200,172,NULL,NULL
201,172,NULL,NULL
202,173,NULL,NULL
203,173,NULL,NULL
204,173,NULL,NULL
205,174,NULL,NULL
206,174,NULL,NULL
207,174,NULL,NULL
208,175,NULL,NULL
209,175,NULL,NULL
210,175,NULL,NULL
211,176,NULL,NULL
212,176,NULL,NULL
213,176,NULL,NULL
214,177,NULL,NULL
215,177,NULL,NULL
216,177,NULL,NULL
217,178,NULL,NULL
218,178,NULL,NULL
219,178,NULL,NULL
220,179,NULL,NULL
221,179,NULL,NULL
222,179,NULL,NULL
223,180,NULL,NULL
224,180,NULL,NULL
225,180,NULL,NULL
226,181,NULL,NULL
227,181,NULL,NULL
228,181,NULL,NULL
229,182,NULL,NULL
230,182,NULL,NULL
231,182,NULL,NULL
232,183,NULL,NULL
233,183,NULL,NULL
234,183,NULL,NULL
235,184,NULL,NULL
236,184,NULL,NULL
237,184,NULL,NULL
238,185,NULL,NULL
239,185,NULL,NULL
240,185,NULL,NULL
241,186,NULL,NULL
242,186,NULL,NULL
243,186,NULL,NULL
244,187,NULL,NULL
245,187,NULL,NULL
246,187,NULL,NULL
247,188,NULL,NULL
248,188,NULL,NULL
249,188,NULL,NULL
250,189,NULL,NULL
251,189,NULL,NULL
252,189,NULL,NULL
253,190,NULL,NULL
254,190,NULL,NULL
255,190,NULL,NULL
256,191,NULL,NULL
257,191,NULL,NULL
258,191,NULL,NULL
259,192,NULL,NULL
260,192,NULL,NULL
261,192,NULL,NULL
262,193,NULL,NULL
263,193,NULL,NULL
264,193,NULL,NULL
265,194,NULL,NULL
266,194,NULL,NULL
267,194,NULL,NULL
